Active,City,CityCode,Confirmed,Country,CountryCode,Date,Deaths,ID,Lat,Lon,Province,Recovered
0,"","",0,Singapore,SG,2020-01-22T00:00:00Z,0,2484662a-37d0-4b6c-8272-34e5a86f26f0,1.35,103.82,"",0
1,"","",1,Singapore,SG,2020-01-23T00:00:00Z,0,f1471591-909d-4c12-9e8b-26ce43fa3b4e,1.35,103.82,"",0
3,"","",3,Singapore,SG,2020-01-24T00:00:00Z,0,ad7bf6e4-27b0-46e9-bdc5-998458be7e6c,1.35,103.82,"",0
3,"","",3,Singapore,SG,2020-01-25T00:00:00Z,0,25bb999d-2443-4505-925d-27f21af143f6,1.35,103.82,"",0
4,"","",4,Singapore,SG,2020-01-26T00:00:00Z,0,297dd8d4-5417-4922-9ac9-a93b9902d4c8,1.35,103.82,"",0
5,"","",5,Singapore,SG,2020-01-27T00:00:00Z,0,bee2a95e-2cf6-46e5-b2a5-9f4b4cca9613,1.35,103.82,"",0
7,"","",7,Singapore,SG,2020-01-28T00:00:00Z,0,64b738cc-1d17-41c1-a9aa-d60900d57140,1.35,103.82,"",0
7,"","",7,Singapore,SG,2020-01-29T00:00:00Z,0,129cbe75-c74d-4c5d-b73c-4d438d2ecdd7,1.35,103.82,"",0
10,"","",10,Singapore,SG,2020-01-30T00:00:00Z,0,67f6a10d-f040-4767-84c1-24e85768de2d,1.35,103.82,"",0
13,"","",13,Singapore,SG,2020-01-31T00:00:00Z,0,db5f37a1-caf4-4b0a-894a-54d166aa4fc5,1.35,103.82,"",0
16,"","",16,Singapore,SG,2020-02-01T00:00:00Z,0,03f27c9b-25a2-4d00-a091-ed8d52b91955,1.35,103.82,"",0
18,"","",18,Singapore,SG,2020-02-02T00:00:00Z,0,94519b00-7aec-41d1-b257-f3ac9fb86254,1.35,103.82,"",0
18,"","",18,Singapore,SG,2020-02-03T00:00:00Z,0,3b1e5bfd-00a4-4468-93f6-c46d2c75eb68,1.35,103.82,"",0
24,"","",24,Singapore,SG,2020-02-04T00:00:00Z,0,94769717-ae10-4891-9c7b-dd8b3889a9d5,1.35,103.82,"",0
28,"","",28,Singapore,SG,2020-02-05T00:00:00Z,0,bc346c5d-8fcb-4f17-9007-5fbf45484176,1.35,103.82,"",0
28,"","",28,Singapore,SG,2020-02-06T00:00:00Z,0,fefcbac0-dbf3-4975-b73a-524dfd70a1ad,1.35,103.82,"",0
30,"","",30,Singapore,SG,2020-02-07T00:00:00Z,0,3f885ae1-acde-4624-bdf2-4484762149ce,1.35,103.82,"",0
31,"","",33,Singapore,SG,2020-02-08T00:00:00Z,0,e373136f-90f3-4818-9ee8-eb7b3eac2575,1.35,103.82,"",2
38,"","",40,Singapore,SG,2020-02-09T00:00:00Z,0,a489635f-7515-44c3-ab35-7ba6503e1e92,1.35,103.82,"",2
43,"","",45,Singapore,SG,2020-02-10T00:00:00Z,0,7abbd361-ecbd-4c00-b9d3-2bc078a13f37,1.35,103.82,"",2
